offset	compartment	length	phase	score
9	nucl	26	0	727495
9	nucl	26	1	827811
9	nucl	26	2	387555
9	nucl	27	0	727495
9	nucl	27	1	827811
9	nucl	27	2	387555
9	nucl	28	0	727495
9	nucl	28	1	827811
9	nucl	28	2	387555
9	nucl	29	0	727495
9	nucl	29	1	827811
9	nucl	29	2	387555
